Model,Status,MAE,RMSE,R2,MAPE,CV_Best_RMSE_LogScale,Best_Params,Runtime_Seconds,Error
Random Forest Regression,Success,20.792721289250494,38.51947984699197,0.5411889479430259,23.779764417753526,0.32823001137714486,"{'model__n_estimators': 300, 'model__min_samples_split': 5, 'model__min_samples_leaf': 2, 'model__max_depth': 20}",12.331253051757812,
XGBoost Regression,Success,22.12489427922136,40.34999853779389,0.4965456593162094,25.182933345753895,0.33384167856345903,"{'model__subsample': 1.0, 'model__reg_lambda': 1, 'model__n_estimators': 200, 'model__max_depth': 5, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.8}",2.0273680686950684,
LightGBM Regression,Success,22.176065807604054,40.411958467021414,0.4949983013678526,25.298980089541256,0.33469973983257617,"{'model__subsample': 0.8, 'model__num_leaves': 31, 'model__n_estimators': 100, 'model__max_depth': -1, 'model__learning_rate': 0.1, 'model__colsample_bytree': 1.0}",1.2000138759613037,
K-Nearest Neighbors Regression,Success,21.681479705976912,40.61556236627303,0.48989687426524964,24.47788838309578,0.3388043232013209,"{'model__weights': 'uniform', 'model__p': 2, 'model__n_neighbors': 11}",6.500232219696045,
Gradient Boosting Regression,Success,24.172031760430443,43.368085532202464,0.41841453433813813,27.625664676350485,0.35419666442469494,"{'model__subsample': 0.8, 'model__n_estimators': 200, 'model__max_depth': 2, 'model__learning_rate': 0.1}",3.194854259490967,
Support Vector Regression,Success,23.94914170041156,43.459942968534136,0.4159482263842216,27.610378552188546,0.3584608246926573,"{'model__gamma': 'scale', 'model__epsilon': 0.2, 'model__C': 1}",22.214017868041992,
Multiple Linear Regression,Success,24.907929406932386,44.48485850474501,0.3880760236492756,28.761014507481303,,{},0.05173325538635254,
Ridge Regression,Success,24.908172824811924,44.49058394748555,0.3879184976384955,28.759274465392114,0.36747804906949827,{'model__alpha': 10},5.346198320388794,
Elastic Net Regression,Success,24.919285492490864,44.53974403260927,0.38656510552173673,28.747266725868936,0.367462674744451,"{'model__l1_ratio': 0.8, 'model__alpha': 0.001}",4.399768114089966,
Lasso Regression,Success,24.92232600772009,44.55115230195585,0.3862508187243091,28.745288974338596,0.3674620755147479,{'model__alpha': 0.001},4.430987596511841,
